device,useragent
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.3; WOW64) Gecko/20130401 Firefox/70.4
mobile,"Mozilla/5.0 (Android; Android 7.1.1; Pixel XL Build/NME91E) AppleWebKit/603.11 (KHTML, like Gecko)  Chrome/53.0.1379.399 Mobile Safari/534.5"
edge,"Mozilla/5.0 (Windows NT 10.1;) AppleWebKit/603.17 (KHTML, like Gecko) Chrome/51.0.2337.170 Safari/537.3 Edge/12.55269"
edge,"Mozilla/5.0 (Windows NT 10.1; Win64; x64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/51.0.3327.145 Safari/536.0 Edge/8.53312"
linux,Mozilla/5.0 (Linux; U; Linux i652 x86_64; en-US) Gecko/20130401 Firefox/67.0
windows,"Mozilla/5.0 (Windows; Windows NT 6.0;; en-US) AppleWebKit/533.47 (KHTML, like Gecko) Chrome/48.0.2671.257 Safari/603"
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Win64; x64 Trident/4.0)
firefox,Mozilla/5.0 (Linux; U; Linux i643 ; en-US) Gecko/20100101 Firefox/67.9
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 6.2; WOW64; en-US Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2;; en-US Trident/4.0)
edge,"Mozilla/5.0 (Windows NT 10.5;; en-US) AppleWebKit/600.17 (KHTML, like Gecko) Chrome/52.0.3259.378 Safari/535.6 Edge/11.57695"
android,"Mozilla/5.0 (Android; Android 5.1.1; MOTOROLA MOTO G XT1068 Build/LPK23) AppleWebKit/537.29 (KHTML, like Gecko)  Chrome/51.0.2134.131 Mobile Safari/533.9"
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_4_1; en-US) Gecko/20130401 Firefox/66.9
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/536.12 (KHTML, like Gecko) Chrome/48.0.3125.159 Safari/535"
windows,"Mozilla/5.0 (Windows; Windows NT 6.3;) AppleWebKit/600.21 (KHTML, like Gecko) Chrome/47.0.1446.209 Safari/602"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 8_3_5; en-US) Gecko/20130401 Firefox/66.0
android,"Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG SM-A700T Build/LRX22G) AppleWebKit/537.33 (KHTML, like Gecko)  Chrome/53.0.2557.190 Mobile Safari/535.2"
android,"Mozilla/5.0 (Android; Android 5.0; SM-G430 Build/LRX22G) AppleWebKit/600.22 (KHTML, like Gecko)  Chrome/48.0.3153.381 Mobile Safari/602.8"
linux,"Mozilla/5.0 (Linux x86_64) AppleWebKit/600.17 (KHTML, like Gecko) Chrome/54.0.2423.315 Safari/603"
mobile,"Mozilla/5.0 (Linux; Android 5.0; LG-D326 Build/LRX22G) AppleWebKit/603.38 (KHTML, like Gecko)  Chrome/48.0.3492.206 Mobile Safari/536.0"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_2_1; en-US) Gecko/20100101 Firefox/57.1
edge,"Mozilla/5.0 (Windows; Windows NT 10.2; WOW64) AppleWebKit/537.24 (KHTML, like Gecko) Chrome/48.0.3649.360 Safari/600.8 Edge/9.71826"
linux,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/603.13 (KHTML, like Gecko) Chrome/52.0.3576.150 Safari/603"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3_5; like Mac OS X) AppleWebKit/603.28 (KHTML, like Gecko)  Chrome/53.0.2139.325 Mobile Safari/535.1"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_3_5; en-US) Gecko/20130401 Firefox/48.3
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_8_2; en-US) Gecko/20130401 Firefox/56.9
mobile,"Mozilla/5.0 (Linux; Android 4.4.1; E:number:20-23:22 Build/24.0.A.1.34) AppleWebKit/533.3 (KHTML, like Gecko)  Chrome/50.0.2965.338 Mobile Safari/603.3"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 7_3_5 like Mac OS X) AppleWebKit/534.40 (KHTML, like Gecko)  Chrome/50.0.1687.333 Mobile Safari/601.7"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.3; WOW64; en-US Trident/4.0)
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/533.33 (KHTML, like Gecko) Chrome/50.0.2586.278 Safari/537"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_5) Gecko/20130401 Firefox/47.2
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_0_5; en-US) AppleWebKit/536.18 (KHTML, like Gecko) Chrome/49.0.2817.252 Safari/601"
linux,"Mozilla/5.0 (Linux; U; Linux i666 x86_64) AppleWebKit/602.4 (KHTML, like Gecko) Chrome/52.0.3932.396 Safari/533"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.2; WOW64; en-US) AppleWebKit/602.48 (KHTML, like Gecko) Chrome/51.0.1847.208 Safari/600"
firefox,Mozilla/5.0 (Windows NT 6.1;) Gecko/20100101 Firefox/64.1
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 7_9_3; en-US) AppleWebKit/603.41 (KHTML, like Gecko) Chrome/48.0.1492.218 Safari/535"
linux,Mozilla/5.0 (Linux i560 ) Gecko/20130401 Firefox/62.2
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3;) AppleWebKit/602.23 (KHTML, like Gecko) Chrome/53.0.2433.329 Safari/602.6 Edge/10.42789"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_6; en-US) AppleWebKit/535.10 (KHTML, like Gecko) Chrome/53.0.3115.148 Safari/534"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_9_9; like Mac OS X) AppleWebKit/534.39 (KHTML, like Gecko)  Chrome/52.0.1473.219 Mobile Safari/533.9"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.0; WOW64) AppleWebKit/600.15 (KHTML, like Gecko) Chrome/49.0.3359.183 Safari/602.9 Edge/18.79697"
linux,"Mozilla/5.0 (Linux i581 ) AppleWebKit/603.31 (KHTML, like Gecko) Chrome/55.0.1219.303 Safari/536"
android,"Mozilla/5.0 (Linux; Android 4.4.1; Nokia 3010 Build/IMM76D) AppleWebKit/600.17 (KHTML, like Gecko)  Chrome/52.0.1584.199 Mobile Safari/602.6"
windows,Mozilla/5.0 (Windows; Windows NT 6.1;; en-US) Gecko/20100101 Firefox/52.4
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.3; x64 Trident/5.0)
android,"Mozilla/5.0 (Linux; U; Android 5.1.1; SM-G9350FD Build/MMB29M) AppleWebKit/601.44 (KHTML, like Gecko)  Chrome/48.0.3460.292 Mobile Safari/533.1"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_8) AppleWebKit/537.50 (KHTML, like Gecko) Chrome/53.0.1845.105 Safari/601"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; WOW64) AppleWebKit/601.20 (KHTML, like Gecko) Chrome/52.0.1489.345 Safari/535.6 Edge/17.37449"
chrome,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/537.7 (KHTML, like Gecko) Chrome/48.0.1515.224 Safari/602"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_4_1; en-US) Gecko/20100101 Firefox/56.1
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; Win64; x64; en-US) AppleWebKit/602.5 (KHTML, like Gecko) Chrome/51.0.3725.354 Safari/602.9 Edge/9.91254"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 8_3_0 like Mac OS X) AppleWebKit/603.42 (KHTML, like Gecko)  Chrome/51.0.2389.211 Mobile Safari/533.3"
firefox,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20130401 Firefox/45.8
android,"Mozilla/5.0 (Android; Android 5.1; XT1021 Build/LXB22) AppleWebKit/601.1 (KHTML, like Gecko)  Chrome/51.0.1941.391 Mobile Safari/534.6"
windows,"Mozilla/5.0 (Windows; Windows NT 10.0; x64) AppleWebKit/533.17 (KHTML, like Gecko) Chrome/52.0.1874.126 Safari/601.8 Edge/18.48948"
firefox,Mozilla/5.0 (U; Linux i655 x86_64) Gecko/20100101 Firefox/73.8
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 10.5; x64; en-US Trident/4.0)
chrome,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/602.13 (KHTML, like Gecko) Chrome/52.0.3311.107 Safari/601"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_7_5; like Mac OS X) AppleWebKit/602.26 (KHTML, like Gecko)  Chrome/53.0.2587.161 Mobile Safari/601.8"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_5_4; like Mac OS X) AppleWebKit/536.25 (KHTML, like Gecko)  Chrome/50.0.2653.232 Mobile Safari/601.3"
windows,Mozilla/5.0 (Windows NT 10.3; x64; en-US) Gecko/20100101 Firefox/64.8
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_2_4; en-US) Gecko/20130401 Firefox/62.5
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_2_3; en-US) Gecko/20130401 Firefox/58.9
windows,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 10.2; x64 Trident/7.0)
windows,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.3;; en-US Trident/5.0)
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; x64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/49.0.2627.119 Safari/535.2 Edge/17.67635"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_7_1; like Mac OS X) AppleWebKit/536.9 (KHTML, like Gecko)  Chrome/50.0.2936.372 Mobile Safari/534.0"
android,"Mozilla/5.0 (Android; Android 6.0; Nexus 7X Build/MDB08I) AppleWebKit/600.22 (KHTML, like Gecko)  Chrome/52.0.1498.217 Mobile Safari/602.6"
firefox,Mozilla/5.0 (Linux x86_64) Gecko/20130401 Firefox/63.0
mobile,"Mozilla/5.0 (Android; Android 4.4; Nexus_ 8 Build/KTU84P) AppleWebKit/537.23 (KHTML, like Gecko)  Chrome/50.0.2802.356 Mobile Safari/534.7"
mobile,"Mozilla/5.0 (Android; Android 7.1.1; Pixel C Build/NME91E) AppleWebKit/603.5 (KHTML, like Gecko)  Chrome/52.0.2196.114 Mobile Safari/534.9"
android,"Mozilla/5.0 (Android; Android 4.4; SM-G900FD Build/KOT49H) AppleWebKit/603.34 (KHTML, like Gecko)  Chrome/47.0.1552.101 Mobile Safari/536.8"
mobile,"Mozilla/5.0 (Linux; U; Android 7.1; Nexus 5 Build/NPD90G) AppleWebKit/602.37 (KHTML, like Gecko)  Chrome/54.0.3076.116 Mobile Safari/535.2"
firefox,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20100101 Firefox/52.4
android,"Mozilla/5.0 (Linux; Android 7.1; SAMSUNG GT-I9600 Build/KTU84P) AppleWebKit/600.4 (KHTML, like Gecko)  Chrome/55.0.1502.375 Mobile Safari/602.5"
linux,Mozilla/5.0 (U; Linux i654 ; en-US) Gecko/20130401 Firefox/51.6
linux,"Mozilla/5.0 (U; Linux i661 x86_64) AppleWebKit/601.41 (KHTML, like Gecko) Chrome/52.0.1244.269 Safari/534"
android,"Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9600 Build/KTU84P) AppleWebKit/600.20 (KHTML, like Gecko)  Chrome/53.0.3166.198 Mobile Safari/535.8"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.1; Win64; x64; en-US) AppleWebKit/537.20 (KHTML, like Gecko) Chrome/52.0.1950.146 Safari/533"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; WOW64; en-US Trident/5.0)
android,"Mozilla/5.0 (Linux; U; Android 5.0.2; SM-G490 Build/LRX22G) AppleWebKit/536.20 (KHTML, like Gecko)  Chrome/51.0.1782.365 Mobile Safari/601.4"
linux,Mozilla/5.0 (Linux i685 ) Gecko/20130401 Firefox/47.7
android,"Mozilla/5.0 (Linux; Android 7.1; LG-H910 Build/NRD90C) AppleWebKit/603.37 (KHTML, like Gecko)  Chrome/54.0.1490.133 Mobile Safari/533.8"
firefox,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/53.3
linux,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/52.1
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.3;; en-US Trident/6.0)
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)
linux,Mozilla/5.0 (Linux; Linux x86_64; en-US) Gecko/20100101 Firefox/54.9
chrome,"Mozilla/5.0 (Linux; Linux i642 x86_64) AppleWebKit/601.7 (KHTML, like Gecko) Chrome/53.0.3155.137 Safari/602"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; Win64; x64) AppleWebKit/600.12 (KHTML, like Gecko) Chrome/48.0.1851.135 Safari/601.8 Edge/13.98578"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_4; like Mac OS X) AppleWebKit/600.8 (KHTML, like Gecko)  Chrome/55.0.1891.385 Mobile Safari/535.3"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/533.17 (KHTML, like Gecko) Chrome/53.0.3674.299 Safari/602"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_6_8; like Mac OS X) AppleWebKit/601.30 (KHTML, like Gecko)  Chrome/51.0.3478.395 Mobile Safari/534.5"
android,"Mozilla/5.0 (Linux; U; Android 7.1; Nexus 8X Build/NPD90G) AppleWebKit/535.25 (KHTML, like Gecko)  Chrome/49.0.1504.357 Mobile Safari/600.8"
edge,"Mozilla/5.0 (Windows; Windows NT 10.3; x64) AppleWebKit/603.16 (KHTML, like Gecko) Chrome/50.0.3804.116 Safari/601.6 Edge/15.19966"
linux,Mozilla/5.0 (Linux; Linux i645 x86_64; en-US) Gecko/20130401 Firefox/56.3
edge,"Mozilla/5.0 (Windows NT 10.2; Win64; x64) AppleWebKit/601.30 (KHTML, like Gecko) Chrome/50.0.3752.127 Safari/533.7 Edge/13.48137"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.5; WOW64) AppleWebKit/537.3 (KHTML, like Gecko) Chrome/49.0.2094.305 Safari/601"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.3; Win64; x64 Trident/5.0)
linux,Mozilla/5.0 (Linux x86_64) Gecko/20100101 Firefox/58.0
edge,"Mozilla/5.0 (Windows; Windows NT 10.5;) AppleWebKit/533.50 (KHTML, like Gecko) Chrome/47.0.1833.105 Safari/600.8 Edge/14.80525"
android,"Mozilla/5.0 (Linux; Android 7.1.1; Nexus 8X Build/NPD90G) AppleWebKit/534.29 (KHTML, like Gecko)  Chrome/53.0.2019.104 Mobile Safari/601.1"
mobile,"Mozilla/5.0 (Android; Android 5.1; Nexus 5 Build/LRX22C) AppleWebKit/602.4 (KHTML, like Gecko)  Chrome/48.0.1417.189 Mobile Safari/534.9"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.2; WOW64) AppleWebKit/601.20 (KHTML, like Gecko) Chrome/50.0.2795.399 Safari/602"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0;; en-US) AppleWebKit/603.10 (KHTML, like Gecko) Chrome/47.0.3275.296 Safari/534.5 Edge/15.44672"
firefox,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/48.1
linux,"Mozilla/5.0 (Linux; U; Linux i684 ) AppleWebKit/600.45 (KHTML, like Gecko) Chrome/50.0.3180.219 Safari/602"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_5_6) AppleWebKit/602.24 (KHTML, like Gecko) Chrome/51.0.3872.202 Safari/601"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.3; x64; en-US Trident/7.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_5_6; like Mac OS X) AppleWebKit/534.48 (KHTML, like Gecko)  Chrome/55.0.3565.359 Mobile Safari/537.2"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_6_9; en-US) Gecko/20130401 Firefox/69.1
android,"Mozilla/5.0 (Linux; U; Android 4.4.1; [HM NOTE|NOTE-III|NOTE2 1LTETD) AppleWebKit/602.41 (KHTML, like Gecko)  Chrome/53.0.3600.250 Mobile Safari/602.5"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; U; Windows NT 6.2; x64; en-US Trident/7.0)
windows,Mozilla/5.0 (Windows NT 6.3;; en-US) Gecko/20100101 Firefox/64.1
linux,Mozilla/5.0 (Linux i654 x86_64; en-US) Gecko/20100101 Firefox/59.8
android,"Mozilla/5.0 (Linux; U; Android 4.3.1; GT-I9200 Build/JDQ39) AppleWebKit/602.37 (KHTML, like Gecko)  Chrome/51.0.3626.368 Mobile Safari/603.0"
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; x64; en-US) AppleWebKit/600.11 (KHTML, like Gecko) Chrome/52.0.2261.381 Safari/537.7 Edge/10.51888"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_1) AppleWebKit/537.35 (KHTML, like Gecko) Chrome/52.0.3653.128 Safari/536"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_3_8; like Mac OS X) AppleWebKit/602.1 (KHTML, like Gecko)  Chrome/55.0.1502.248 Mobile Safari/603.6"
windows,Mozilla/5.0 (Windows NT 6.0; WOW64) Gecko/20100101 Firefox/64.4
android,"Mozilla/5.0 (Android; Android 6.0.1; Nexus 7X Build/MMB29V) AppleWebKit/603.5 (KHTML, like Gecko)  Chrome/52.0.1877.282 Mobile Safari/537.6"
linux,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/62.9
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_4_3; en-US) AppleWebKit/535.49 (KHTML, like Gecko) Chrome/49.0.3064.276 Safari/601"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) Gecko/20130401 Firefox/46.3
edge,"Mozilla/5.0 (Windows; Windows NT 10.3; x64; en-US) AppleWebKit/536.26 (KHTML, like Gecko) Chrome/54.0.1175.337 Safari/537.4 Edge/12.89322"
mobile,"Mozilla/5.0 (Linux; U; Android 6.0.1; Nexus 7P Build/MDB08I) AppleWebKit/600.24 (KHTML, like Gecko)  Chrome/50.0.3949.135 Mobile Safari/533.5"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.3; Win64; x64 Trident/6.0)
windows,"Mozilla/5.0 (Windows NT 10.5; x64) AppleWebKit/602.26 (KHTML, like Gecko) Chrome/51.0.3027.251 Safari/600"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0; en-US) AppleWebKit/535.22 (KHTML, like Gecko) Chrome/50.0.2977.302 Safari/534"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.3; Trident/4.0)
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 7_2_4 like Mac OS X) AppleWebKit/534.23 (KHTML, like Gecko)  Chrome/48.0.1836.100 Mobile Safari/534.5"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.1; x64) AppleWebKit/536.38 (KHTML, like Gecko) Chrome/53.0.3601.145 Safari/533.2 Edge/16.93976"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7) Gecko/20100101 Firefox/59.1
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; x64; en-US Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_9_5; like Mac OS X) AppleWebKit/535.11 (KHTML, like Gecko)  Chrome/50.0.3216.217 Mobile Safari/600.1"
mobile,"Mozilla/5.0 (Linux; U; Android 7.0; Nexus 8X Build/NME91E) AppleWebKit/537.5 (KHTML, like Gecko)  Chrome/50.0.2865.236 Mobile Safari/602.2"
chrome,"Mozilla/5.0 (Windows NT 6.2; WOW64; en-US) AppleWebKit/603.38 (KHTML, like Gecko) Chrome/53.0.2003.311 Safari/535"
windows,Mozilla/5.0 (Windows NT 6.1; WOW64; en-US) Gecko/20100101 Firefox/70.6
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_3_1) AppleWebKit/536.24 (KHTML, like Gecko) Chrome/51.0.3473.160 Safari/600"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_7_5 like Mac OS X) AppleWebKit/601.42 (KHTML, like Gecko)  Chrome/49.0.2189.125 Mobile Safari/602.9"
windows,Mozilla/5.0 (Windows; U; Windows NT 10.3;) Gecko/20100101 Firefox/68.2
